id,name,name_en,parent_id,level,created_by,created_at,updated_by,updated_at,is_deleted
1,商科,Business,0,1,admin,"2024-12-27 17:05:53",admin,"2025-02-06 18:28:36",0
2,文社科,"Humanities and Social Sciences",0,1,admin,"2024-12-27 17:05:53",admin,"2025-01-02 20:46:55",0
3,理工科,"Science and Engineering",0,1,admin,"2024-12-27 17:05:53",admin,"2025-01-02 20:46:55",0
4,艺术,Arts,0,1,admin,"2024-12-27 17:05:53",admin,"2025-01-02 20:46:55",0
5,其他,Others,0,1,admin,"2024-12-27 17:05:53",admin,"2025-01-02 20:46:55",0
6,金融学,Finance,1,2,admin,"2024-12-27 17:07:48",admin,"2025-02-11 10:22:47",0
7,经济学,Economics,1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:04",0
8,商业分析,"Business Analytics",1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:04",0
9,管理学,Management,1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:04",0
10,人力资源管理,"Human Resource Management",1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:04",0
11,市场营销,Marketing,1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:04",0
12,财会类,Accounting,1,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
13,传媒学,Media,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
14,语言与文学,"Language and Literature",2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
15,教育学,Education,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
16,历史学,History,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
17,哲学,Philosophy,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
18,社会学,Sociology,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:05",0
19,人类学,Anthropology,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:06",0
20,法学类,Law,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:06",0
21,心理学,Psychology,2,2,admin,"2024-12-27 17:07:48",admin,"2024-12-27 17:10:06",0
22,数学,Mathematics,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:06",0
23,统计学,Statistics,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:06",0
24,数据科学,"Data Science",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:06",0
25,物理,Physics,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:06",0
26,化学化工,Chemistry,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
27,生物科学,Biology,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
28,地球科学,"Earth Sciences",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
29,计算机,"Computer Science",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
30,电子信息类,"Electronic Information Science and Technology",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
31,电子电气类,"Electrical & Electronic Engineering",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:07",0
32,机械类,"Mechanical Engineering",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
33,能源类,Energy,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
34,土木类,"Civil Engineering",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
35,建筑学,"Architectural Studies",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
36,自动化,Automation,3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
37,材料学,"Materials Science",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
38,生物医学,"Biomedical Sciences",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:08",0
39,环境科学,"Environmental Science",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:09",0
40,食品科学与工程,"Food Science and Technology",3,2,admin,"2024-12-27 17:08:23",admin,"2024-12-27 17:10:09",0
41,艺术设计,"Art and Design",4,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:09",0
42,音乐,Music,4,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:09",0
43,美术,"Fine Art",4,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:09",0
44,戏剧与影视,"Drama and Theatre Arts",4,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:09",0
45,体育类,"Sport Science",5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
46,大健康类,"Health Sciences",5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
47,农学,Agriculture,5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
48,兽医学,"Veterinary Medicine",5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
49,医学,Medicine,5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
50,护理学,Nursing,5,2,admin,"2024-12-27 17:08:42",admin,"2024-12-27 17:10:10",0
51,金融学,Finance,6,3,admin,"2024-12-31 14:28:18",admin,"2025-01-20 15:20:35",0
52,金融工程,"Financial Engineering",6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:03",0
53,投资学,Investment,6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
54,金融数学,"Financial Mathematics",6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
55,金融科技,FinTech,6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
56,经济与金融,"Economics and Finance",6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
57,精算学,"Actuarial Science",6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
58,互联网金融,"Internet Finance",6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
59,保险学,Insurance,6,3,admin,"2024-12-31 14:28:18",admin,"2024-12-31 14:37:04",0
60,新闻学,Journalism,13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:03",0
61,传播学,Communication,13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:03",0
62,公共关系（PR）,"Public Relations",13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:03",0
63,广告,Advertising,13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:03",0
64,编辑出版,"Editing and Publishing",13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:03",0
65,国际新闻与传播,"International Journalism and Communication",13,3,admin,"2024-12-31 15:19:42",admin,"2024-12-31 15:20:04",0
66,计算机科学与技术,"Computer Science and Technology",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:13",0
67,软件工程,"Software Engineering",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:13",0
68,网络工程,"Network Engineering",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:13",0
69,信息安全,"Information Security",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:13",0
70,物联网工程,"Internet of Things Engineering",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:13",0
71,数字媒体技术,"Digital Media Technology",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
72,智能科学与技术,"Intelligent Science and Technology",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
73,空间信息与数字技术,"Spatial Information and Digital Technology",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
74,电子与计算机工程,"Electronic and Computer Engineering",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
75,虚拟现实技术,"Virtual Reality Technology",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
76,区块链工程,"Blockchain Engineering",29,3,admin,"2024-12-31 15:31:53",admin,"2024-12-31 15:32:14",0
77,测试细分,test,6,3,admin,"2025-01-20 15:14:12",admin,"2025-01-20 17:23:31",1
78,我是细分专业,test,6,3,admin,"2025-01-20 15:21:22",admin,"2025-01-20 17:23:22",1
82,1,2,6,3,admin,"2025-01-20 16:32:55",admin,"2025-01-20 17:23:16",1
83,测试细分,test,6,3,admin,"2025-01-20 17:01:43",admin,"2025-01-20 17:23:11",1
84,测试测试,testtest,6,3,admin,"2025-01-20 17:04:01",admin,"2025-01-20 17:23:07",1
85,1,2,6,3,admin,"2025-01-20 17:18:41",admin,"2025-01-20 17:23:01",1
86,1,2,1,2,admin,"2025-01-23 15:02:42",admin,"2025-01-23 15:02:54",1
87,测试专业,TEST,1,2,admin,"2025-01-24 13:42:01",admin,"2025-01-24 13:48:03",1
88,测试测试名称1,测试TEST1,13,3,admin,"2025-01-24 13:49:29",admin,"2025-01-24 13:53:48",1
89,测试专业,Test,1,2,admin,"2025-02-05 13:41:12",admin,"2025-02-05 13:42:31",1
96,基础护理学,"Fundamental Nursing",50,3,admin,"2025-02-11 11:27:27",admin,"2025-02-11 11:27:27",0
97,内外科护理学,"Medical and Surgical Nursing",50,3,admin,"2025-02-11 11:29:51",admin,"2025-02-11 11:30:51",0
98,儿科护理学,"Pediatric Nursing",50,3,admin,"2025-02-11 11:30:43",admin,"2025-02-11 11:30:43",0
99,妇产科护理学,"Obstetric and Gynecologic Nursing",50,3,admin,"2025-02-11 11:31:38",admin,"2025-02-11 11:31:38",0
100,社区护理学,"Community Health Nursing",50,3,admin,"2025-02-11 11:32:21",admin,"2025-02-11 11:32:21",0
101,护理管理学,"Nursing Management",50,3,admin,"2025-02-11 11:33:04",admin,"2025-02-11 11:33:04",0
102,基础医学,"Basic Medicine",49,3,admin,"2025-02-11 15:33:41",admin,"2025-02-11 15:33:41",0
103,临床医学,"Clinical Medicine",49,3,admin,"2025-02-11 15:34:12",admin,"2025-02-11 15:34:12",0
104,口腔医学,"Dental Medicine",49,3,admin,"2025-02-11 15:35:06",admin,"2025-02-11 15:35:06",0
105,药学,Pharmacology,49,3,admin,"2025-02-11 15:35:54",admin,"2025-02-11 15:35:54",0
106,护理学,Nursing,49,3,admin,"2025-02-11 15:36:12",admin,"2025-02-11 15:36:12",0
107,预防医学,"Preventive Medicine",49,3,admin,"2025-02-11 15:36:42",admin,"2025-02-11 15:36:42",0
108,医学影像学,"Medical Imaging",49,3,admin,"2025-02-11 15:37:31",admin,"2025-02-11 15:37:31",0
109,医学检验技术,"Clinical Laboratory Technology",49,3,admin,"2025-02-11 15:38:11",admin,"2025-02-11 15:38:11",0
110,康复治疗学,"Rehabilitation Therapy Studies",49,3,admin,"2025-02-11 15:38:49",admin,"2025-02-11 15:38:49",0
111,中医学,"Traditional Chinese Medicine",49,3,admin,"2025-02-11 15:39:54",admin,"2025-02-11 15:39:54",0
112,基础兽医学,"Basic Veterinary Medicine",48,3,admin,"2025-02-11 16:07:58",admin,"2025-02-11 16:07:58",0
113,预防兽医学,"Preventive Veterinary Medicine",48,3,admin,"2025-02-11 16:08:22",admin,"2025-02-11 16:08:22",0
114,临床兽医学,"Clinical Veterinary Medicine",48,3,admin,"2025-02-11 16:09:15",admin,"2025-02-11 16:09:15",0
