id,name,name_en,level
1,美国,"United States",1
45,新加坡,Singapore,1
50,英国,"United Kingdom",1
55,中国内地,China,1
56,中国香港,"Hong Kong",1
57,澳大利亚,Australia,1
122,加拿大,Canada,1
123,新西兰,"New Zealand",1
124,中国澳门,Macao,1
125,日本,Japan,1
126,韩国,"South Korea",1
127,马来西亚,Malaysia,1
128,泰国,Thailand,1
129,奥地利,Austria,1
130,比利时,Belgium,1
131,瑞士,Switzerland,1
132,德国,Germany,1
133,丹麦,Denmark,1
134,西班牙,Spain,1
135,芬兰,Finland,1
136,法国,France,1
137,匈牙利,Hungary,1
138,爱尔兰,Ireland,1
139,意大利,Italy,1
140,挪威,Norway,1
141,荷兰,"The Netherlands",1
143,瑞典,Sweden,1
144,俄罗斯,Russia,1
