id,name,parent_id,created_by,created_at,updated_by,updated_at,is_deleted,is_all_country
1,博士,NULL,admin,"2024-01-01 00:00:00",admin,"2024-01-01 00:00:00",0,0
2,硕士,NULL,admin,"2024-01-01 00:05:00",admin,"2024-01-01 00:05:00",0,0
3,本科,NULL,admin,"2024-01-01 00:10:00",admin,"2024-01-01 00:10:00",0,0
4,本科（文理院校）,3,admin,"2024-01-01 00:15:00",admin,"2024-01-01 00:15:00",0,0
5,本科（综合院校）,3,admin,"2024-01-01 00:20:00",admin,"2024-01-01 00:20:00",0,0
6,高中,NULL,admin,"2024-12-31 20:03:49",admin,"2024-12-31 20:03:49",0,0
7,初中,NULL,admin,"2024-12-31 20:04:13",admin,"2025-02-10 19:42:12",0,0
8,测试学历,NULL,admin,"2025-01-22 14:27:36",admin,"2025-01-22 14:27:39",1,0
9,测试学历111,2,admin,"2025-01-24 17:49:29",admin,"2025-02-10 12:10:22",1,0
10,测试硕士,2,admin,"2025-01-24 17:51:44",admin,"2025-02-10 12:10:24",1,0
11,测试学历CC1,NULL,admin,"2025-02-05 15:52:23",admin,"2025-02-05 16:01:56",1,0
12,本科（语言学校）,3,admin,"2025-02-10 12:11:23",admin,"2025-02-10 17:09:01",1,0
13,本科（大学）,3,admin,"2025-02-10 12:13:50",admin,"2025-02-10 16:28:23",1,0
14,大专,NULL,admin,"2025-02-11 20:35:11",admin,"2025-02-11 20:37:44",1,0
15,小专,NULL,admin,"2025-02-11 20:35:43",admin,"2025-02-13 23:23:17",1,0
16,小小专,15,admin,"2025-02-11 20:39:31",admin,"2025-02-11 20:40:05",1,0
19,小小专,15,admin,"2025-02-11 20:42:58",admin,"2025-02-11 20:43:58",1,0
20,测试学历,3,admin,"2025-02-13 03:05:26",admin,"2025-02-13 03:05:26",0,0
21,测试学历-博士-美国,1,admin,"2025-02-14 15:22:47",admin,"2025-02-14 15:22:47",0,0
22,社区学院,NULL,admin,"2025-03-06 11:32:29",admin,"2025-03-06 11:32:29",0,0
23,测试学历全国家,22,admin,"2025-04-01 16:43:55",admin,"2025-04-01 16:43:55",0,0
24,测试全匹配字段,22,admin,"2025-04-02 13:30:28",admin,"2025-04-02 13:30:28",0,0
25,测试全匹配字段2222,22,admin,"2025-04-02 13:31:47",admin,"2025-04-02 13:31:47",0,0
26,测试不全匹配字段初中,7,admin,"2025-04-02 13:39:22",admin,"2025-04-02 15:19:46",0,0
27,测试全匹配字段自动切换,7,admin,"2025-04-02 13:41:24",admin,"2025-04-02 13:41:24",0,1
28,"TOP UP",NULL,NULL,"2025-04-02 16:12:27",NULL,"2025-04-02 16:12:27",0,0
